
----- BẢNG STATUS lúc 14:58:02 15/05/2026 -----
Tên file                         | Trang   | Hệ thống   | Mã khách hàng | PO             | Đơn giá | Trạng thái 
air_waybill_WH6_HCM_15052026.pdf | 43/108  | JIT-CHOICE | WH6_HCM       | 260515EAFYKEF9 |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 44/108  | JIT-CHOICE | WH6_HCM       | 260515EFKK9DQH |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 45/108  | JIT-CHOICE | WH6_HCM       | 260515EHRF7951 |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 46/108  | JIT-CHOICE | WH6_HCM       | 260515EJA3U3TJ |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 47/108  | JIT-CHOICE | WH6_HCM       | 260515EKGVJ6V8 |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 48/108  | JIT-CHOICE | WH6_HCM       | 260515EKYMK6GS |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 49/108  | JIT-CHOICE | WH6_HCM       | 260515EP72HAV4 |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 50/108  | JIT-CHOICE | WH6_HCM       | 260515EPKN2EB5 |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 51/108  | JIT-CHOICE | WH6_HCM       | 260515EPR09J3E |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 52/108  | JIT-CHOICE | WH6_HCM       | 260515EQKQ5Q3H |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 53/108  | JIT-CHOICE | WH6_HCM       | 260515EQV25MH7 |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 54/108  | JIT-CHOICE | WH6_HCM       | 260515ER2MYVXP |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 55/108  | JIT-CHOICE | WH6_HCM       | 260515ERF2MEQT |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 56/108  | JIT-CHOICE | WH6_HCM       | 260515ES66P1A6 |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 57/108  | JIT-CHOICE | WH6_HCM       | 260515ESF2X72F |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 58/108  | JIT-CHOICE | WH6_HCM       | 260515ESJATFK3 |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 59/108  | JIT-CHOICE | WH6_HCM       | 260515ET8SW05T |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 60/108  | JIT-CHOICE | WH6_HCM       | 260515ETMHQ6QJ |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 61/108  | JIT-CHOICE | WH6_HCM       | 260515EU27EA7R |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 62/108  | JIT-CHOICE | WH6_HCM       | 260515EWPEFTGW |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 63/108  | JIT-CHOICE | WH6_HCM       | 260515EXHWR761 |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 64/108  | JIT-CHOICE | WH6_HCM       | 260515EXSKS9Y2 |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 65/108  | JIT-CHOICE | WH6_HCM       | 260515EXTUVTTD |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 66/108  | JIT-CHOICE | WH6_HCM       | 260515EY1MCWB5 |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 67/108  | JIT-CHOICE | WH6_HCM       | 260515EYETTSB3 |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 68/108  | JIT-CHOICE | WH6_HCM       | 260515F08NQE8S |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 69/108  | JIT-CHOICE | WH6_HCM       | 260515F0D7JXUX |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 70/108  | JIT-CHOICE | WH6_HCM       | 260515F0K1HJJP |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 71/108  | JIT-CHOICE | WH6_HCM       | 260515F1AWEARH |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 72/108  | JIT-CHOICE | WH6_HCM       | 260515F1HTQW51 |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 73/108  | JIT-CHOICE | WH6_HCM       | 260515F1RYJ49P |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 74/108  | JIT-CHOICE | WH6_HCM       | 260515F1U0CUAU |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 75/108  | JIT-CHOICE | WH6_HCM       | 260515F1YUW0DN |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 76/108  | JIT-CHOICE | WH6_HCM       | 260515F21219G2 |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 77/108  | JIT-CHOICE | WH6_HCM       | 260515F2C3U9QB |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 78/108  | JIT-CHOICE | WH6_HCM       | 260515F3SK5DCS |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 79/108  | JIT-CHOICE | WH6_HCM       | 260515F46H2QQ7 |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 80/108  | JIT-CHOICE | WH6_HCM       | 260515F4U5Y9HW |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 81/108  | JIT-CHOICE | WH6_HCM       | 260515F4XPG0G8 |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 82/108  | JIT-CHOICE | WH6_HCM       | 260515F4YYFV8B |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 83/108  | JIT-CHOICE | WH6_HCM       | 260515F5C3N9UX |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 84/108  | JIT-CHOICE | WH6_HCM       | 260515F5PT1N3B |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 85/108  | JIT-CHOICE | WH6_HCM       | 260515F5TFAVAX |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 86/108  | JIT-CHOICE | WH6_HCM       | 260515F5TVM3PY |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 87/108  | JIT-CHOICE | WH6_HCM       | 260515F63H6172 |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 88/108  | JIT-CHOICE | WH6_HCM       | 260515F6B86Y0E |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 89/108  | JIT-CHOICE | WH6_HCM       | 260515F6D0H5UG |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 90/108  | JIT-CHOICE | WH6_HCM       | 260515F6QG72NJ |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 91/108  | JIT-CHOICE | WH6_HCM       | 260515F6X5RETH |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 92/108  | JIT-CHOICE | WH6_HCM       | 260515F7QEJ6BV |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 93/108  | JIT-CHOICE | WH6_HCM       | 260515F7X8X28A |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 94/108  | JIT-CHOICE | WH6_HCM       | 260515F82YMBGW |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 95/108  | JIT-CHOICE | WH6_HCM       | 260515F9AMXYUX |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 96/108  | JIT-CHOICE | WH6_HCM       | 260515F9F04EAK |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 97/108  | JIT-CHOICE | WH6_HCM       | 260515F9R06PR6 |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 98/108  | JIT-CHOICE | WH6_HCM       | 260515FA2PHJK2 |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 99/108  | JIT-CHOICE | WH6_HCM       | 260515FAARYRTW |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 100/108 | JIT-CHOICE | WH6_HCM       | 260515FABFWGK9 |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 101/108 | JIT-CHOICE | WH6_HCM       | 260515FAT359D2 |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 102/108 | JIT-CHOICE | WH6_HCM       | 260515FB7BJSVY |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 103/108 | JIT-CHOICE | WH6_HCM       | 260515FBGRY0A7 |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 104/108 | JIT-CHOICE | WH6_HCM       | 260515FBSH9MFA |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 105/108 | JIT-CHOICE | WH6_HCM       | 260515FC29PMXM |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 106/108 | JIT-CHOICE | WH6_HCM       | 260515FD3F5N0B |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 107/108 | JIT-CHOICE | WH6_HCM       | 260515FD8CFG7J |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 108/108 | JIT-CHOICE | WH6_HCM       | 260515FDMXWNEA |         | ✅Hoàn Thành
air_waybill_WH6_HN_15052026.pdf  | 1/41    | JIT-CHOICE | WH6_HN        | 260514DC1USF9S |         | ✅Hoàn Thành
air_waybill_WH6_HN_15052026.pdf  | 2/41    | JIT-CHOICE | WH6_HN        | 260515ETKXJ8TN |         | ✅Hoàn Thành
air_waybill_WH6_HN_15052026.pdf  | 3/41    | JIT-CHOICE | WH6_HN        | 260515ETND9ERU |         | ✅Hoàn Thành
